NSE:TATAMOTORS-EQ,
NSE:CHAMBLFERT-EQ,
NSE:NATIONALUM-EQ,
NSE:HDFCLIFE-EQ,
NSE:LTTS-EQ,
NSE:BSOFT-EQ,
NSE:LTIM-EQ,
NSE:ZEEL-EQ,
NSE:INDUSTOWER-EQ,
NSE:CUB-EQ,
NSE:SRF-EQ,
NSE:IGL-EQ,
NSE:M&MFIN-EQ,
NSE:TECHM-EQ,
NSE:BANDHANBNK-EQ,
NSE:SHRIRAMFIN-EQ,
NSE:TCS-EQ,
